Year,CountryOfAsylum,Country of asylum (ISO),RefugeesTotal
1951,Australia,AUS,180000
1951,United Kingdom of Great Britain and Northern Ireland,GBR,208000
1951,Netherlands (Kingdom of the),NLD,14200
1951,United States of America,USA,350000
1952,United Kingdom of Great Britain and Northern Ireland,GBR,200000
1952,Netherlands (Kingdom of the),NLD,14100
1952,United States of America,USA,500000
1953,United Kingdom of Great Britain and Northern Ireland,GBR,192000
1953,Netherlands (Kingdom of the),NLD,13900
1953,United States of America,USA,500000
1954,United Kingdom of Great Britain and Northern Ireland,GBR,182000
1954,Netherlands (Kingdom of the),NLD,12400
1954,United States of America,USA,500000
1955,United Kingdom of Great Britain and Northern Ireland,GBR,175000
1955,Netherlands (Kingdom of the),NLD,11400
1955,United States of America,USA,500000
1956,United Kingdom of Great Britain and Northern Ireland,GBR,182000
1956,Netherlands (Kingdom of the),NLD,13600
1956,United States of America,USA,500000
1957,United Kingdom of Great Britain and Northern Ireland,GBR,179000
1957,Netherlands (Kingdom of the),NLD,13500
1957,United States of America,USA,500000
1958,United Kingdom of Great Britain and Northern Ireland,GBR,175000
1958,Netherlands (Kingdom of the),NLD,13000
1958,United States of America,USA,500000
1959,United Kingdom of Great Britain and Northern Ireland,GBR,170000
1959,Netherlands (Kingdom of the),NLD,12800
1959,United States of America,USA,500000
1960,United Kingdom of Great Britain and Northern Ireland,GBR,167000
1960,Netherlands (Kingdom of the),NLD,12000
1960,United States of America,USA,500000
1961,United Kingdom of Great Britain and Northern Ireland,GBR,164000
1961,Netherlands (Kingdom of the),NLD,10000
1961,United States of America,USA,500000
1962,United Kingdom of Great Britain and Northern Ireland,GBR,160000
1962,Netherlands (Kingdom of the),NLD,10000
1962,United States of America,USA,500000
1963,United Kingdom of Great Britain and Northern Ireland,GBR,157000
1963,Netherlands (Kingdom of the),NLD,9500
1963,United States of America,USA,500000
1964,United Kingdom of Great Britain and Northern Ireland,GBR,160000
1964,Netherlands (Kingdom of the),NLD,9500
1964,United States of America,USA,500000
1965,Australia,AUS,40000
1965,United Kingdom of Great Britain and Northern Ireland,GBR,170000
1965,Netherlands (Kingdom of the),NLD,9000
1965,United States of America,USA,510000
1966,Australia,AUS,40000
1966,United Kingdom of Great Britain and Northern Ireland,GBR,167000
1966,Netherlands (Kingdom of the),NLD,8500
1966,United States of America,USA,500000
1967,Australia,AUS,44000
1967,United Kingdom of Great Britain and Northern Ireland,GBR,164000
1967,Netherlands (Kingdom of the),NLD,8000
1967,United States of America,USA,480000
1968,Australia,AUS,43000
1968,United Kingdom of Great Britain and Northern Ireland,GBR,161000
1968,Netherlands (Kingdom of the),NLD,8000
1968,United States of America,USA,498000
1969,Australia,AUS,42000
1969,United Kingdom of Great Britain and Northern Ireland,GBR,162000
1969,Netherlands (Kingdom of the),NLD,8000
1969,United States of America,USA,500000
1970,Australia,AUS,42000
1970,United Kingdom of Great Britain and Northern Ireland,GBR,162000
1970,Netherlands (Kingdom of the),NLD,8524
1970,United States of America,USA,500000
1971,United Kingdom of Great Britain and Northern Ireland,GBR,150000
1971,Netherlands (Kingdom of the),NLD,8600
1971,United States of America,USA,530000
1972,United Kingdom of Great Britain and Northern Ireland,GBR,150000
1972,Netherlands (Kingdom of the),NLD,8830
1972,United States of America,USA,530000
1973,United Kingdom of Great Britain and Northern Ireland,GBR,150000
1973,Netherlands (Kingdom of the),NLD,8400
1973,United States of America,USA,530000
1974,United Kingdom of Great Britain and Northern Ireland,GBR,155500
1974,Netherlands (Kingdom of the),NLD,8015
1974,United States of America,USA,530000
1975,United Kingdom of Great Britain and Northern Ireland,GBR,153000
1975,Netherlands (Kingdom of the),NLD,7850
1975,United States of America,USA,530000
1976,United Kingdom of Great Britain and Northern Ireland,GBR,153000
1976,Netherlands (Kingdom of the),NLD,7900
1976,United States of America,USA,500000
1977,Malaysia,MYS,96000
1977,United Kingdom of Great Britain and Northern Ireland,GBR,148000
1977,Netherlands (Kingdom of the),NLD,8000
1977,United States of America,USA,684700
1978,Malaysia,MYS,141580
1978,Australia,AUS,304000
1978,United Kingdom of Great Britain and Northern Ireland,GBR,150000
1978,Netherlands (Kingdom of the),NLD,8000
1978,United States of America,USA,734000
1979,Malaysia,MYS,124880
1979,Australia,AUS,304000
1979,United Kingdom of Great Britain and Northern Ireland,GBR,146000
1979,Netherlands (Kingdom of the),NLD,10000
1979,United States of America,USA,734000
1980,Malaysia,MYS,104040
1980,Australia,AUS,304000
1980,United Kingdom of Great Britain and Northern Ireland,GBR,148000
1980,Netherlands (Kingdom of the),NLD,12000
1980,United States of America,USA,403684
1981,Malaysia,MYS,103250
1981,Australia,AUS,317000
1981,United Kingdom of Great Britain and Northern Ireland,GBR,146000
1981,Netherlands (Kingdom of the),NLD,13000
1981,United States of America,USA,537375
1982,Malaysia,MYS,99240
1982,Australia,AUS,317000
1982,United Kingdom of Great Britain and Northern Ireland,GBR,143000
1982,Netherlands (Kingdom of the),NLD,14000
1982,United States of America,USA,620257
1983,Malaysia,MYS,110700
1983,Australia,AUS,317000
1983,United Kingdom of Great Britain and Northern Ireland,GBR,140000
1983,Netherlands (Kingdom of the),NLD,14500
1983,United States of America,USA,655532
1984,Malaysia,MYS,109060
1984,Australia,AUS,89000
1984,United Kingdom of Great Britain and Northern Ireland,GBR,135000
1984,Netherlands (Kingdom of the),NLD,15000
1984,United States of America,USA,626909
1985,Malaysia,MYS,105310
1985,Australia,AUS,89000
1985,United Kingdom of Great Britain and Northern Ireland,GBR,135000
1985,Netherlands (Kingdom of the),NLD,15500
1985,United States of America,USA,492806
1986,Malaysia,MYS,99000
1986,Australia,AUS,85900
1986,United Kingdom of Great Britain and Northern Ireland,GBR,100000
1986,Netherlands (Kingdom of the),NLD,16000
1986,United States of America,USA,398633
1987,Malaysia,MYS,99420
1987,Australia,AUS,87600
1987,United Kingdom of Great Britain and Northern Ireland,GBR,100000
1987,Netherlands (Kingdom of the),NLD,24000
1987,United States of America,USA,365726
1988,United Kingdom of Great Britain and Northern Ireland,GBR,39755
1988,United States of America,USA,377769
1988,Malaysia,MYS,104553
1988,Australia,AUS,90970
1988,Netherlands (Kingdom of the),NLD,25963
1989,United Kingdom of Great Britain and Northern Ireland,GBR,46014
1989,United States of America,USA,411496
1989,Malaysia,MYS,110482
1989,Australia,AUS,97915
1989,Netherlands (Kingdom of the),NLD,16971
1990,United Kingdom of Great Britain and Northern Ireland,GBR,43625
1990,United States of America,USA,464887
1990,Malaysia,MYS,14862
1990,Australia,AUS,97915
1990,Netherlands (Kingdom of the),NLD,17337
1991,United Kingdom of Great Britain and Northern Ireland,GBR,43368
1991,United States of America,USA,513885
1991,Malaysia,MYS,13947
1991,Australia,AUS,53117
1991,Netherlands (Kingdom of the),NLD,19020
1992,United Kingdom of Great Britain and Northern Ireland,GBR,64717
1992,Netherlands (Kingdom of the),NLD,29721
1992,United States of America,USA,579938
1992,Malaysia,MYS,11399
1992,Australia,AUS,52604
1993,United Kingdom of Great Britain and Northern Ireland,GBR,80230
1993,Malaysia,MYS,145
1993,Netherlands (Kingdom of the),NLD,43521
1993,United States of America,USA,623056
1993,Australia,AUS,53505
1994,United Kingdom of Great Britain and Northern Ireland,GBR,85159
1994,Malaysia,MYS,5298
1994,Netherlands (Kingdom of the),NLD,62152
1994,United States of America,USA,631046
1994,Australia,AUS,57575
1995,United Kingdom of Great Britain and Northern Ireland,GBR,90908
1995,Malaysia,MYS,5279
1995,Netherlands (Kingdom of the),NLD,79949
1995,United States of America,USA,623279
1995,Australia,AUS,62145
